CustLocation,TotalTransactions,TotalAmount,AvrageAmount
BUILDING PUNE,3,10500,3500
OXFORD SCHOOL MUMBAI,2,1245.6,622.8
DOMBIVALI WEST VISHNUNAGAR THANE,3,92,30.66666667
ROAD BANGALORE,22,8321.01,378.2277273
OF MYSORE PUNE,3,687,229
GATE BANGALORE,3,499,166.3333333
AMRAVATI ROAD NAGPUR,3,4832,1610.666667
DEVANAHALLI BANGALORE,19,6048,318.3157895
DANDENONG,3,5072.07,1690.69
ROAD ANDHERI WEST MUMBAI,7,11030.48,1575.782857
RAMABAI NAGAR,3,432,144
CHITTOOR,17,10006.7,588.6294118
GANDHIDHAM KUTCH,7,3535,505
BIJPUR,2,934.75,467.375
KURLA W,1,1059.84,1059.84
SATAVNAGAR HADAPSAR PUNE,3,1223.88,407.96
IRANIWADI KANDIVALI (W) MUMBAI,1,138,138
SANGRUR,46,23883.77,519.2123913
NANI DAMAN,9,2155,239.4444444
MALAD WEST MUMBAI,24,9651.99,402.16625
SITAMARHI,5,7330,1466
VARACHHA SURAT,1,83.6,83.6
GOBI,2,1000,500
BARDOLI,11,19566.38,1778.761818
CHAMPARAN MOTIHARI,3,591.07,197.0233333
GACHIBOWLI HYDERABAD,5,2228,445.6
AIZAWL,34,77091.7,2267.402941
DADAR WEST BHAWANI SHANKAR MUMBAI,1,160,160
SIVAGANGAI DIST,2,2847,1423.5
MOOSAPET MOOSAPET HYDERABAD,3,179,59.66666667
RATLAM,7,2970.92,424.4171429
RAJAMUNDRY,17,15114.21,889.0711765
PARK PHASE 1 HINJEWADI PUNE,21,20924.01,996.3814286
IMPHAL,48,83974.46,1749.467917
MANARCADU,2,797,398.5
JALORE,19,21222.25,1116.960526
G B ROAD THANE,1,4954.6,4954.6
SIRMAUR,11,2859.5,259.9545455
SOUTH WEST DELHI,2,320,160
SIBSAGAR,5,2043,408.6
NEYYATTINKARA THIRUVANANTHAPURAM,3,2234,744.6666667
SAHIBABAD,10,6420,642
BALLABGARH FARIDABAD,3,1110,370
RESTAURANT NEW DELHI,2,1757.87,878.935
BIRBHUM,24,23123,963.4583333
VILL TOWN CITY KALYAN THANE,1,100,100
NAKA PUNE,1,6126,6126
CANDOLIM,6,5794.47,965.745
BHOJPUR,24,19382.58,807.6075
ANDHERI E MUMBAI,17,29007.22,1706.307059
JASPUR,10,12328.89,1232.889
TAL DIST PALGHAR BOISAR,14,7001.63,500.1164286
LAXMINAGAR,7,5194.57,742.0814286
REWA,21,28772.74,1370.130476
KUNIYIL,6,630,105
JHANSI,93,149612.89,1608.740753
RAJSAMAND,36,31819.53,883.8758333
VPO WAZIRABAD,2,550,275
GHATKOPAR (W) MUMBAI,4,1339.2,334.8
JAM KHAMBHALIYA,2,4376,2188
WORLI COLONY MUMBAI,7,3542.18,506.0257143
AREA MOHALI,1,417,417
MUNNEKOLALA MARATHALLI BANGALORE,1,40,40
BHINMAL,15,25063,1670.866667
MALOUT,5,659,131.8
KURLA W MUMBAI,7,3097,442.4285714
KANNUR,85,159163.05,1872.506471
SALAI CHENNAI,2,850,425
D MART KANJURMARG W MUMBAI,2,205,102.5
PUNE SASWAD ROAD PUNE,3,8460,2820
FATEHGARH SAHIB,18,16611,922.8333333
MUKERIAN,9,5910.42,656.7133333
NASIRABAD,6,46840.12,7806.686667
COOCH BEHAR,7,2195.3,313.6142857
SAUDAGAR PUNE,1,1574.95,1574.95
GODHRA (GUJARAT),5,907,181.4
DIST NASHIK,2,657,328.5
CENTRE BANKURA,1,220,220
TARN TARAN,15,12075.63,805.042
MULUND,1,1341,1341
MEHSANA I E,5,3484.49,696.898
BANDRA EAST MUMBAI,15,6749.09,449.9393333
CHIRALA,5,1733.55,346.71
JAHANABAD,3,1720,573.3333333
DAHOD,6,302,50.33333333
ROAD BKC BANDRA (E) MUMBAI,4,8452,2113
HASSAN,22,16924.5,769.2954545
PHASE-1 SOUTH DELHI,6,4068,678
BAWAL,18,31705.2,1761.4
VARNASI,3,5007.3,1669.1
"JORHAT, ASSAM",15,10587.97,705.8646667
MAIN ROAD MAHADEVAPURA BANGALORE,2,1217.49,608.745
JACOB CIRCLE MUMBAI,4,26639.6,6659.9
RAICHUR,8,5213.35,651.66875
GURUKUL KUMAR SCHOOL KASA NGR SURAT,1,4675,4675
AUNDH CAMP PUNE,4,1433,358.25
BEHROR,10,5107.56,510.756
ANANTNAG,13,11587.05,891.3115385
LOWER PAREL MUMBAI,32,26718.52,834.95375
BANDRA W MUMBAI,5,6111,1222.2
NARELA,6,2968.1,494.6833333
DEVAJI AND VIPPLAZA ZIRAKPUR,3,1381,460.3333333
SIDDHARTHNAGAR,4,248,62
JIND,59,61720.89,1046.11678
SARAIKELA KHARSAWAN,2,2054.58,1027.29
PO BOX 28483 DUBAI,2,4558,2279
JAYANAGAR BANGALURU,1,500,500
PONDA,17,17960.32,1056.489412
NARASARAOPET,2,600,300
SCHOOL WEST TRIPURA,1,218.5,218.5
ELPHINSTONE ROAD MUMBAI,2,1750,875
HADAPSAR PUNE CITY PUNE,3,760,253.3333333
24  P G S (S),1,47,47
SIVAGANGA,13,16069.36,1236.104615
PIMPLE SAUDAGAR PUNE,4,609,152.25
MHAPE NAVI MUMBAI,4,2413,603.25
U S NAGAR,5,1131,226.2
BUDDHA NAGAR NOIDA,2,9966,4983
GAUTAM BUDHNAGAR,5,3297,659.4
24 PGNS NORTH,9,583,64.77777778
MOTHERSON COMPANY FARIDABAD,2,400,200
MORENA,4,5383,1345.75
