CustLocation,TotalTransactions,TotalAmount,AvrageAmount
KERALA,5,2273,454.6
GHINGHARTOLA TEH BAGESHWAR DIST,2,78,39
ROURKELA,94,80520.73,856.6035106
MUPPALLA GUNTUR,12,12432.65,1036.054167
NEWDELHI,29,24673.03,850.7941379
PIPARIYA,6,8930.26,1488.376667
MIRA ROAD E,11,107112,9737.454545
BHUBANESHWAR,156,383333.8,2457.267949
RAJPURA,47,222609.49,4736.372128
PANCHKULA,364,457529.95,1256.950412
FARIDABAD,1240,1440610.24,1161.782452
JALANDHAR,319,480927.75,1507.610502
WEST MUMBAI,36,32670.37,907.5102778
GWALIOR,106,207638.97,1958.858208
SECTOR 21 KHARGHAR NAVI MUMBAI,3,5977.44,1992.48
BAGHPAT,30,29977.87,999.2623333
AMBALA,161,116527.93,723.7759627
ZONE WHITEFIELD BANGALORE,6,19146,3191
GORAKHPUR,102,79529.7,779.7029412
BARAMATI,21,62650.14,2983.34
YAMUNANAGAR,83,109643.3,1321.003614
MANGALORE,160,171781,1073.63125
TALUK BANGALORE,9,314600,34955.55556
FIROZABAD,94,157226.66,1672.624043
PONDICHERRY,67,195942.51,2924.515075
RAIGAD,59,146224.8,2478.386441
BULANDSHAHR,83,82414.04,992.940241
THRISSUR,130,251918.06,1937.831231
SONIPAT,224,464170.43,2072.18942
DEWAS,25,19007.39,760.2956
AMBALA CANTT,87,97744.75,1123.502874
BILASPUR,118,366811.22,3108.569661
RAI SONEPAT,1,232,232
JAUNPUR,29,11089,382.3793103
AMRITSAR,417,698953.86,1676.148345
RANGA REDDY,351,594810.94,1694.618063
HEADQUARTERS NAVI MUMBAI,1,1200,1200
BADDI,40,36932.9,923.3225
SRIPERUMBUDUR,61,34312.85,562.5057377
NAINITAL,57,28019.43,491.5689474
FATEHABAD,56,50168.38,895.8639286
BERHAMPUR,8,3787.31,473.41375
NAGPUR,398,618685.71,1554.486709
MEERUT,333,562438.34,1689.004024
STATION BANGALORE,13,44952.52,3457.886154
BOKARO,56,58585.5,1046.169643
IRAGAVARAM,2,84,42
SOLAPUR,24,16168.58,673.6908333
UDUPI,48,52829.43,1100.613125
BHUJ,80,67593.68,844.921
ROHTAK,112,165848.06,1480.78625
NAVIMUMBAI,29,23775.81,819.8555172
ARAKKONAM,2,500,250
NIZAMABAD,51,25301.94,496.1164706
AHMEDNAGAR,81,81099.41,1001.227284
SILIGURI,188,188720.9,1003.834574
TIRUVALLUR,77,51007.99,662.4414286
SIVASAGAR,28,37446.73,1337.383214
NANDED,12,4910.87,409.2391667
VIRAR,9,8946.24,994.0266667
HOOGHLY,101,175584.51,1738.460495
THIRUVALLUR,32,25644.39,801.3871875
BENGALURU,215,317188.99,1475.297628
GARDEN CHOWK PIMPLE SAUDAGAR PUNE,13,4135,318.0769231
PANIPAT,180,398022.15,2211.234167
ALWAR,194,119071.25,613.7693299
RAIPUR,243,482063.59,1983.800782
KHERLI,4,5429,1357.25
MADURAI,99,100018.09,1010.283737
ON KALYAN ROAD NAVI MUMBAI,5,1839,367.8
KALYANI NAGAR PUNE,52,44617.61,858.0309615
IDUKKI,13,18977.33,1459.794615
THOOTHUKUDI,7,49316.3,7045.185714
TALEGAON DABHADE,4,1894.25,473.5625
BHILAI I,1,100,100
KANPUR NAGAR,64,209188.9,3268.576563
PANVEL,57,54456.93,955.3847368
KHARSWAN JAMSHEDPUR,2,30,15
SANGLI,38,42174.64,1109.858947
COLONY RANGAREDDI HYDERABAD,4,4034.06,1008.515
ANDHERI W MUMBAI,24,27779.46,1157.4775
ULHASNAGAR-1 THANE,8,1396,174.5
TIRUPATI,54,171363.73,3173.402407
WARANGAL,159,301867.02,1898.534717
SANGALI,2,146,73
MAHBOOBNAGAR,3,700.46,233.4866667
ROORKEE,36,192713.77,5353.160278
BEHIND EXCOM HOUSE MUMBAI,1,253,253
KARNAL,178,209113.86,1174.796966
ROPAR,41,44703.09,1090.319268
ALIGARH,151,108820.85,720.6678808
KOLLAM,86,128761.66,1497.228605
ANDHERI WEST MUMBAI,12,7511.06,625.9216667
SION (E) MUMBAI,46,37127.4,807.1173913
ROORKEE HARIDWAR,3,1220,406.6666667
TRIVANDRUM,100,236764.22,2367.6422
CUTTACK,59,46422.98,786.8301695
PALGHAR,37,37277.54,1007.501081
GANJAM,35,17983.5,513.8142857
THANJAVUR,37,54871,1483
GADAG,6,3192.01,532.0016667
VIRUDHUNAGAR,27,21404,792.7407407
NORTH 24 PARGANAS,212,177027.66,835.0361321
KANNAD,1,2990,2990
VELLORE,106,161108.61,1519.892547
ARIYALUR DISTRICT,2,201.15,100.575
HATHRAS,26,5813.4,223.5923077
VARANASI,148,433533.13,2929.277905
CARANZALEM,21,76193.03,3628.239524
PATIALA,260,448839.17,1726.3045
KRISHNAGIRI,49,21530.99,439.4079592
SAS NAGAR,126,130844.71,1038.450079
SURATGARH,3,1509,503
VISAKHAPATANAM,3,5379,1793
JAYANAGAR BANGALORE,4,3700.5,925.125
PERAMBALUR,13,7614.47,585.7284615
SAMRUDHDHI BHAVAN RAJKOT,3,27406,9135.333333
GUNTUR DIST,1,122,122
CUDDALORE,53,18898,356.5660377
RANCHI,241,370448.05,1537.128838
COIMBATORE,381,1255366.46,3294.925092
KHARDAH,1,10,10
DISTT PUNE,2,85,42.5
TIRUPATI (RURAL),1,525,525
JODHPUR,142,148518.74,1045.90662
MARKS SCHOOL NEW DELHI,7,5546,792.2857143
RAJAPALAYAM,6,2736,456
"DOMBIVALI -WEST,THANE",1,700,700
REWARI,251,196228.08,781.7851793
CINEMA HAORA,3,12640,4213.333333
VASAI,10,15786.26,1578.626
MANALI,52,62698.12,1205.733077
KANCHIPURAM,20,25684.64,1284.232
BHAVNAGAR,72,28225.53,392.02125
SOLAN,96,143359.65,1493.329687
GURGAON RD DUNDHERA GURGAON,1,1997,1997
SCHOOL BURDWAN,2,209,104.5
HOWRAH,222,361565.92,1628.675315
MEDAK DIST,6,2898.55,483.0916667
INDIRANAGAR BANGALORE,9,5856.39,650.71
GAUTAM BUDDHA NAGAR,82,45525.48,555.1887805
DWARKA,14,11591,827.9285714
NURMAHAL,9,3194,354.8888889
KURLA ANDHERI RD MUMBAI,9,11665.79,1296.198889
KALYAN (W) THANE,3,7412,2470.666667
NEEMRANA,9,7686,854
UDAIPUR,302,445983.98,1476.768146
ALAPPUZHA,41,51239.08,1249.733659
DEORIA,26,23921.04,920.04
TANUKU,1,720,720
SOUTH TWENTY FOUR PARAGANAS,1,80,80
KALYAN W,6,2175.07,362.5116667
ERNAKULAM,230,416160.56,1809.393739
MATHURA,87,146316.62,1681.80023
DOMBIVLI,11,14874.08,1352.189091
PURBI SINGHBHUM,5,1983,396.6
PALI,59,79009.35,1339.141525
BANUR,13,29093.79,2237.983846
JAGATSINGHPUR,5,20544,4108.8
SHIMLA,138,302075.98,2188.956377
PALAKKAD,75,70496.3,939.9506667
MORINDA MORINDA,14,3976.4,284.0285714
THANE W,55,190560.33,3464.733273
SINGHBHUM,8,9906,1238.25
UTTARA KANNADA,15,4598,306.5333333
UNA,53,55306.05,1043.510377
HOBBLI BANGALORE,5,12616,2523.2
JOGESHWARI (E) MUMBAI,4,2488,622
GANGTOK,116,119778.56,1032.573793
GREATER NOIDA,382,374235.99,979.6753665
NEVILLE HOUSE THANE,1,475,475
RAI BARELI,3,200,66.66666667
RAIGARH CG RAIGARH,18,9828.8,546.0444444
WRZESNIA,1,21230.06,21230.06
MEWAT,12,5689.75,474.1458333
BOISAR,70,115896.22,1655.660286
BAMBOLIM,226,225924.8,999.6672566
KAPURTHALA,111,236137.9,2127.368468
TO B KAVERI TAILORS BANGALORE,3,1664.05,554.6833333
GHATKOPAR,1,255,255
JALNA,10,4447.97,444.797
BLOCK KORAMANGALA BANGALORE,12,14857.02,1238.085
AJMER,83,115828.98,1395.52988
KOTESHWARA,1,2316,2316
DAMAN,35,32372.97,924.942
MANDI GOBINDGARH,22,166372.77,7562.398636
BAHADURGARH,99,90497.1,914.1121212
MANDI,55,26718.78,485.796
CHROMPET CHENNAI,3,3346,1115.333333
KALOL,7,18993.8,2713.4
BELGAUM,96,111709.05,1163.635938
JALGAON,89,77456.6,870.2988764
MYSORE,96,133877.21,1394.554271
N M JOSHI MARG LOWER PAREL MUMBAI,5,19558.06,3911.612
BHADRAK,11,2855,259.5454545
ARIYALUR DT,2,700,350
VASAI THANE,10,3481.31,348.131
THIRUVARUR,10,8138.74,813.874
DARBHANGA,28,18072.65,645.4517857
TALUK KANCHEEPURAM DIST,15,6622,441.4666667
ASANSOL,45,54957.32,1221.273778
BHARUCH,51,78966.48,1548.362353
PRAKASAM,34,15797.98,464.6464706
GANDHINAGAR,114,116441.78,1021.419123
BULADHANA,2,818.95,409.475
PONDA NORTH,13,1997.8,153.6769231
GHATKOPAR W MUMBAI,4,957,239.25
JHUNJHUNU,16,45480,2842.5
DOMBIVALI E,6,2287.94,381.3233333
SIKAR,18,4141,230.0555556
TANJAVUR,1,995,995
KALYAN EAST,9,9454.61,1050.512222
ANDHERI (E) MUMBAI,22,19844,902
ANAND,56,171398.38,3060.685357
HARIDWAR,100,71655.14,716.5514
NAGARI THANE,1,322.5,322.5
YEOLA,7,22768,3252.571429
BARMER,33,27980.96,847.9078788
RAMNAGAR,16,20210.03,1263.126875
EAST DELHI,12,58314.37,4859.530833
PASCHIM MEDINIPUR,23,17880.25,777.4021739
VAPI,154,159961.85,1038.713312
KOTTAYAM,162,178239.19,1100.241914
ARIYALUR,16,16414,1025.875
PATNA,294,487946.35,1659.681463
CHHINDWARA,66,28717.78,435.1178788
SIGNAL SION E MUMBAI,11,35604.32,3236.756364
BARAMATI PUNE BARAMATI,1,1000,1000
